,start time,lock time,close time,epoch,Locked price,Close price,Change,Total BNB,Up BNB,Down BNB,Win/Lose,Summary,Moving Average,Oscillator
182,1653656985,1653657285,1653657585,3553,307.2,306.8,-0.4,11.6307,6.0115,5.7417,0,BUY,STRONG BUY,NEUTRAL
183,1653657291,1653657591,1653657891,3554,306.8,305.0,-1.8,12.1992,5.8354,6.4922,0,BUY,STRONG BUY,NEUTRAL
184,1653657597,1653657897,1653658197,3555,305.0,305.6,0.6,11.6183,5.8453,5.8953,1,BUY,STRONG BUY,SELL
185,1653657903,1653658203,1653658503,3556,305.6,305.6,0.0,0.0,5.9444,5.723,0,BUY,STRONG BUY,NEUTRAL
186,1653658209,1653658509,1653658809,3557,305.6,307.2,1.6,12.1919,5.8351,6.4851,1,BUY,STRONG BUY,NEUTRAL
187,1653658515,1653658815,1653659115,3558,307.2,306.3,-0.9,12.3766,6.0757,6.4312,0,BUY,STRONG BUY,NEUTRAL
188,1653658821,1653659121,1653659421,3559,306.3,306.5,0.2,12.8927,6.4142,6.6142,1,NEUTRAL,BUY,SELL
189,1653659128,1653659428,1653659728,3560,306.5,307.8,1.3,11.5815,5.8717,5.8317,1,BUY,STRONG BUY,NEUTRAL
190,1653659434,1653659734,1653660034,3561,307.8,308.0,0.2,11.5601,5.8409,5.8409,1,BUY,STRONG BUY,SELL
191,1653659740,1653660040,1653660340,3562,308.0,308.0,0.0,0.0,5.7463,5.7344,0,BUY,STRONG BUY,SELL
192,1653660046,1653660346,1653660646,3563,308.0,306.7,-1.3,11.4386,5.7495,5.8095,0,BUY,STRONG BUY,NEUTRAL
193,1653660352,1653660652,1653660952,3564,306.7,306.1,-0.6,11.5068,5.8139,5.8139,0,BUY,BUY,NEUTRAL
194,1653660658,1653660958,1653661258,3565,306.1,305.1,-1.0,11.2268,5.6975,5.6475,0,NEUTRAL,BUY,NEUTRAL
195,1653660964,1653661264,1653661564,3566,305.1,306.3,1.2,15.9584,7.7682,8.3582,1,SELL,SELL,NEUTRAL
196,1653661270,1653661570,1653661870,3567,306.3,305.3,-1.0,15.4266,7.7595,7.8295,0,BUY,BUY,NEUTRAL
197,1653661576,1653661876,1653662176,3568,305.3,303.5,-1.8,15.1686,7.6691,7.6591,0,NEUTRAL,BUY,NEUTRAL
198,1653661882,1653662182,1653662482,3569,303.5,304.2,0.7,15.5442,7.6101,8.0977,1,SELL,STRONG SELL,SELL
199,1653662188,1653662488,1653662788,3570,304.2,302.1,-2.1,15.3957,7.6211,7.9367,0,NEUTRAL,SELL,NEUTRAL
200,1653662494,1653662794,1653663094,3571,302.1,302.3,0.2,15.2487,7.6846,7.7246,1,SELL,STRONG SELL,NEUTRAL
201,1653662800,1653663100,1653663400,3572,302.3,301.9,-0.4,15.3942,7.7781,7.7781,0,SELL,STRONG SELL,NEUTRAL
202,1653663107,1653663407,1653663707,3573,301.9,301.5,-0.4,15.6673,7.6511,8.1811,0,SELL,STRONG SELL,BUY
